iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
88,2,7.07425,7.87,7.413200000000001,0.5701547265052795,10.349453926086426,2.2337594032287598
89,1,6.72325,7.545,7.0232,11.341299057006836,9.350629806518555,20.0648193359375
89,2,6.867625,7.291,7.1228,0.6337417960166931,6.205216407775879,2.4660985469818115
90,1,7.302125,8.033,7.6208,1.979113221168518,5.471335411071777,4.84891414642334
90,2,7.261625,8.232,7.672199999999999,2.9289982318878174,36.19696044921875,27.29275131225586
91,1,6.9506250000000005,8.235,7.4693999999999985,1.3014225959777832,12520.7763671875,3.204927444458008
91,2,6.970375000000001,7.301,7.144800000000001,1.117691993713379,6.672403335571289,8.272493362426758
92,1,6.874874999999999,8.643,7.389,0.658420979976654,4.262000560760498,2.9096720218658447
92,2,6.881375,8.175,7.261999999999999,3.4365367889404297,34.88768005371094,28.85110092163086
93,1,7.1385000000000005,8.203,7.498600000000001,1.6213781833648682,25.00813865661621,4.061400890350342
93,2,6.77425,8.448,7.2234,15.02982234954834,6.762257099151611,27.622682571411133
94,1,6.72975,7.647,7.205999999999999,1.183045744895935,27.787832260131836,3.520988941192627
94,2,6.13875,7.389,6.583,1.8914415836334229,12.80082893371582,6.302236557006836
95,1,6.815874999999999,8.184,7.5114,0.8319237232208252,5.740509033203125,3.613377571105957
95,2,7.158875,7.564,7.292,2.9391703605651855,18.3367977142334,6.7705559730529785
96,1,6.949,7.849,7.244400000000001,1.9569025039672852,62.02867126464844,20.896129608154297
96,2,6.896857142857144,7.689,7.315600000000001,1.1783366203308105,4.164132595062256,3.265728712081909
97,1,6.80475,7.673,7.1822,78.0320053100586,29.403745651245117,177.23719787597656
97,2,6.783875,8.676,7.295,0.8492327928543091,6.967072486877441,4.574023246765137
98,1,6.8335,7.736,7.304399999999999,3.0265510082244873,17.638408660888672,9.80678653717041
98,2,6.830875000000001,8.605,7.385599999999999,0.8164858222007751,22.35919189453125,5.354859828948975
99,1,6.909,7.388,7.0812,1.7648345232009888,4.461709022521973,7.448182106018066
99,2,6.97775,7.633,7.3036,0.5028464794158936,4.238636016845703,2.0478920936584473
100,1,6.9455,7.709,7.255,0.5075581669807434,27.902236938476562,1.3462694883346558
100,2,6.640125,7.918,7.0982,4.2396159172058105,14.334610939025879,30.848405838012695
