original,augmented,selfies
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,N1(CCc2c3ccccc3[nH]c2)C(=O)[C@H](CC(NCc2ccc([S@+](=O)(N)[OH2+])cc2)=O)NC1=O,[N][Branch1][S][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=Ring1][=Branch2][C][=Branch1][C][=O][C@H1][Branch2][Ring1][O][C][C][Branch2][Ring1][Branch1][N][C][C][=C][C][=C][Branch1][=Branch2][S@+1][=Branch1][C][=O][Branch1][C][N][OH2+1][C][=C][Ring1][#Branch2][=O][N][C][Ring2][Ring1][S][=O]
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,n1c2c(c(=O)n(NC(=O)Cc3ccccc3)c1SCc1nc3ccccn3c(=O)c1)cccc2,[N][C][=C][Branch2][Ring2][N][C][=Branch1][C][=O][N][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][P][S][C][C][N][=C][C][=C][C][=C][N][Ring1][=Branch1][C][=Branch1][C][=O][C][=Ring1][O][C][=C][C][=C][Ring2][Ring1][P]
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,c1ccccc1CC(Nn1c(=O)c2c(cccc2)nc1SCc1nc2n(cccc2)c(=O)c1)=O,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch2][Ring2][#Branch2][N][N][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][O][S][C][C][N][=C][N][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=Ring1][O][=O]
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,n1c(C)nn2c1ncc1c(=O)n(Cc3cccnc3)ccc21,[N][C][Branch1][C][C][=N][N][C][=Ring1][=Branch1][N][=C][C][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][C][Ring2][Ring1][C][=Ring1][=C]
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,c1cc2c(cnc3n2nc(C)n3)c(=O)n1Cc1cnccc1,[C][=C][C][=C][Branch1][#C][C][=N][C][N][Ring1][=Branch1][N][=C][Branch1][C][C][N][=Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#C][C][C][=C][N][=C][C][=C][Ring1][=Branch1]
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,c1c2c(ccc1C(=O)N1CCC(C(=O)N)CC1)C(=O)N1CCCC[C@H]1N2C,[C][=C][C][=Branch2][Ring1][=Branch2][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][C][Ring1][=Branch2][C][=Branch1][C][=O][N][C][C][C][C][C@H1][Ring1][=Branch1][N][Ring2][Ring1][=Branch2][C]
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,C1CCC[C@H]2N(C)c3c(ccc(C(N4CCC(C(N)=O)CC4)=O)c3)C(=O)N12,[C][C][C][C][C@H1][N][Branch1][C][C][C][=C][Branch2][Ring1][=N][C][=C][C][Branch2][Ring1][Ring2][C][Branch1][S][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][C][Ring1][=Branch2][=O][=C][Ring1][P][C][=Branch1][C][=O][N][Ring2][Ring1][O][Ring2][Ring1][#Branch1]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,c1cc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)ccc1[S@@+](N)(=O)[OH2+],[C][=C][C][Branch2][Ring1][#C][C][N][C][=Branch1][C][=O][C][C@H1][N][C][=Branch1][C][=O][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C][=O][=C][C][=C][Ring2][Ring1][#Branch2][S@@+1][Branch1][C][N][=Branch1][C][=O][OH2+1]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C1(=O)N(CCc2ccccc2)C(=O)N[C@@H]1CC(=O)NCc1ccc([S@+](N)([OH2+])=O)cc1,[C][=Branch1][C][=O][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Ring1][#C][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][=Branch2][S@+1][Branch1][C][N][Branch1][C][OH2+1][=O][C][=C][Ring1][#Branch2]
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1([O-])nc2n(c(=O)c1C(NCc1ccncc1)=O)ccc(C)c2,[C][Branch1][C][O-1][N][=C][N][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][C][=Ring1][Branch2][C][Branch1][O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][=O][C][=C][C][Branch1][C][C][=C][Ring2][Ring1][Ring2]
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,O=C(c1c(=O)n2ccc(C)cc2nc1[O-])NCc1ccncc1,[O][=C][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][=C][C][Branch1][C][C][=C][C][Ring1][#Branch1][=N][C][=Ring1][N][O-1][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1]
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1cccc(Cn2c(=O)c3c(cc2)n2c(nc3)ncn2)n1,[C][=C][C][=C][C][Branch2][Ring1][N][C][N][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][N][C][Branch1][Branch1][N][=C][Ring1][Branch2][=N][C][=N][Ring1][#Branch1][=N][Ring2][Ring1][Branch1]
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1(Cn2c(=O)c3cnc4n(c3cc2)ncn4)ncccc1,[C][Branch2][Ring1][#Branch2][C][N][C][=Branch1][C][=O][C][C][=N][C][N][Branch1][Branch2][C][=Ring1][=Branch1][C][=C][Ring1][O][N][=C][N][=Ring1][Branch2][=N][C][=C][C][=C][Ring2][Ring1][Branch1]
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,Cc1ccc2n3c(sc2c1)ncc(NC(c1c(C)cccc1)=O)c3=O,[C][C][=C][C][=C][N][C][Branch1][Branch2][S][C][Ring1][Branch1][=C][Ring1][=Branch2][=N][C][=C][Branch1][P][N][C][Branch1][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][=O][C][Ring2][Ring1][Ring1][=O]
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1c(NC(=O)c2c(C)cccc2)c(=O)n2c3ccc(C)cc3sc2n1,[C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][S][C][Ring1][#Branch2][=N][Ring2][Ring1][=Branch2]
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,c1c2c(c([N+](=O)[O-])cc1)C(=O)N(CCC(Nc1c(C(=O)N)cccc1)=O)C2=O,[C][=C][C][=Branch1][=N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][N][Branch2][Ring1][#Branch1][C][C][C][Branch1][P][N][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Ring1][=Branch2][=O][C][Ring2][Ring1][#Branch2][=O]
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,c1cc(NC(=O)CCN2C(=O)c3cccc([N+]([O-])=O)c3C2=O)c(C(=O)N)cc1,[C][=C][C][Branch2][Ring1][S][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Ring1][=Branch2][C][Ring1][=N][=O][=C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][=C][Ring2][Ring1][N]
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,c1cccc(C(=O)N)c1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,[C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][=C][Ring1][=Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#C][N][C][=Branch1][C][=O][C][C][S@+1][Ring1][=Branch1][=Branch1][C][=O][OH2+1][C][=C][Ring1][=C]
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,[OH2+][S@+]1(=O)N(c2ccc(C(=O)Nc3ccccc3C(=O)N)cc2)C(=O)CC1,[OH2+1][S@+1][=Branch1][C][=O][N][Branch2][Ring1][#C][C][=C][C][=C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][Ring2][Ring1][C][C][=Branch1][C][=O][C][C][Ring2][Ring1][=Branch2]
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,n1n2c(c(C(=O)NCc3cnccc3)c1)C[C@H](NC(c1cnn(C)c1)=O)C2,[N][N][C][=Branch2][Ring1][Branch1][=C][Branch1][#C][C][=Branch1][C][=O][N][C][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=Ring1][#C][C][C@H1][Branch1][S][N][C][Branch1][O][C][C][=N][N][Branch1][C][C][C][=Ring1][=Branch1][=O][C][Ring2][Ring1][#Branch2]
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1c(C(N[C@H]2Cc3c(C(NCc4cnccc4)=O)cnn3C2)=O)cnn1C,[C][=C][Branch2][Ring2][Ring2][C][Branch2][Ring1][#C][N][C@H1][C][C][=C][Branch1][#C][C][Branch1][O][N][C][C][=C][N][=C][C][=C][Ring1][=Branch1][=O][C][=N][N][Ring1][#C][C][Ring2][Ring1][C][=O][C][=N][N][Ring2][Ring1][#Branch2][C]
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c12c(c(-c3ccc(C)cc3)[nH]n1)c(C([O-])=O)cc(-c1ccc(OC)c(OC)c1)n2,[C][C][=Branch2][Ring1][Ring1][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][NH1][N][=Ring1][N][C][Branch1][=Branch1][C][Branch1][C][O-1][=O][=C][C][Branch1][P][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][=N][Ring2][Ring1][=N]
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,O(c1c(OC)ccc(-c2nc3n[nH]c(-c4ccc(C)cc4)c3c(C(=O)[O-])c2)c1)C,[O][Branch2][Branch1][Ring1][C][=C][Branch1][Ring1][O][C][C][=C][C][Branch2][Ring2][Ring1][C][=N][C][=N][NH1][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Ring1][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][O][C]
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,Fc1cc([S@@+](N2C[C@@H]3C[C@H](NC(C)=O)CN3C(=O)C2)([OH2+])=O)ccc1,[F][C][=C][C][Branch2][Ring1][P][S@@+1][Branch2][Ring1][=Branch2][N][C][C@@H1][C][C@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][N][Ring1][=Branch2][C][=Branch1][C][=O][C][Ring1][=C][Branch1][C][OH2+1][=O][=C][C][=C][Ring2][Ring1][#Branch1]
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,O=[S@@+](N1CC(=O)N2C[C@@H](NC(C)=O)C[C@H]2C1)(c1cccc(F)c1)[OH2+],[O][=S@@+1][Branch2][Ring1][=Branch2][N][C][C][=Branch1][C][=O][N][C][C@@H1][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][C@H1][Ring1][=Branch2][C][Ring1][=C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][OH2+1]
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c12ccccn1c(=O)c(C(NCc1ccncc1)=O)c([O-])n2,[C][C][=C][C][=C][N][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][#C][C][Branch1][O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][=O][=C][Branch1][C][O-1][N][=Ring2][Ring1][=Branch1]
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c1ccc2nc([O-])c(C(=O)NCc3ccncc3)c(=O)n2c1,[C][C][=C][C][=N][C][Branch1][C][O-1][=C][Branch1][#C][C][=Branch1][C][=O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][C][C][=Ring2][Ring1][=Branch1]
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1nc2n(cc1)c(-c1csc(Nc3c(C)cccc3)n1)c(C)n2,[C][=N][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch2][Ring1][=Branch1][C][=C][S][C][Branch1][=N][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][=N][Ring1][=N][=C][Branch1][C][C][N][=Ring2][Ring1][Branch1]
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1(Nc2c(C)cccc2)nc(-c2n3cccnc3nc2C)cs1,[C][Branch1][=N][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][=N][C][Branch1][#C][C][N][C][=C][C][=N][C][Ring1][=Branch1][=N][C][=Ring1][=Branch2][C][=C][S][Ring2][Ring1][#Branch1]
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1c(C(=O)c2ccccc2)ccc2c1n1c(C)nnc1c(Nc1ccc(O)cc1)n2,[C][=C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=C][N][C][Branch1][C][C][=N][N][=C][Ring1][=Branch1][C][Branch1][=N][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=N][Ring2][Ring1][C]
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1c2nc(Nc3ccc(O)cc3)c3n(c2cc(C(c2ccccc2)=O)c1)c(C)nn3,[C][=C][N][=C][Branch1][=N][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][N][Branch2][Ring1][Branch2][C][Ring1][=C][=C][C][Branch1][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][=C][Ring2][Ring1][#Branch2][C][Branch1][C][C][=N][N][=Ring2][Ring1][C]
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,C(=O)(C[C@@H](c1ccc2c(c1)OCO2)c1ccccc1)[O-],[C][=Branch1][C][=O][Branch2][Ring1][N][C][C@@H1][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][O-1]
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c1ccc([C@H](c2ccc3c(c2)OCO3)CC([O-])=O)cc1,[C][=C][C][=C][Branch2][Ring1][=Branch2][C@H1][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][C][C][Branch1][C][O-1][=O][C][=C][Ring2][Ring1][Ring2]
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1ccc(C(Nc2ccc(N3CCC([NH+]4CCCCC4)(C(=O)N)CC3)cc2C(=O)[O-])=O)c(F)c1,[C][=C][C][=C][Branch2][Ring2][P][C][Branch2][Ring2][N][N][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][C][C][Branch1][=Branch2][NH1+1][C][C][C][C][C][Ring1][=Branch1][Branch1][=Branch1][C][=Branch1][C][=O][N][C][C][Ring1][#C][C][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O-1][=O][C][Branch1][C][F][=C][Ring2][Ring2][C]
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,N1(c2cc(C(=O)[O-])c(NC(=O)c3ccccc3F)cc2)CCC(C(=O)N)([NH+]2CCCCC2)CC1,[N][Branch2][Ring1][P][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Branch1][#C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][Ring2][Ring1][Ring1][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][NH1+1][C][C][C][C][C][Ring1][=Branch1][C][C][Ring2][Ring2][C]
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,C1CN(C(CSc2nnc3n(C)c(=O)c4c(cccc4)n32)=O)CCO1,[C][C][N][Branch2][Ring2][Ring1][C][Branch2][Ring1][=C][C][S][C][=N][N][=C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][N][Ring1][N][Ring1][#C][=O][C][C][O][Ring2][Ring1][=Branch2]
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,n1c(SCC(=O)N2CCOCC2)n2c3c(c(=O)n(C)c2n1)cccc3,[N][=C][Branch1][#C][S][C][C][=Branch1][C][=O][N][C][C][O][C][C][Ring1][=Branch1][N][C][=C][Branch1][S][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring1][Branch2][=N][Ring2][Ring1][Branch1][C][=C][C][=C][Ring1][N]
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,C(C(=O)c1ccncc1)[C@@]1(O)C(=O)N(CC(=O)N)c2ccccc21,[C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1][C@@][Branch1][C][O][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C]
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,C1(=O)N(CC(N)=O)c2ccccc2[C@@]1(O)CC(c1ccncc1)=O,[C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@][Ring1][=C][Branch1][C][O][C][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=O]
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,C1CN([C@@H]2C(=O)N(c3ccc(NC(C)=O)cc3)C(=O)C2)CCC1C(=O)N,[C][C][N][Branch2][Ring1][S][C@@H1][C][=Branch1][C][=O][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][C][Ring1][P][C][C][C][Ring2][Ring1][#Branch1][C][=Branch1][C][=O][N]
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,C1[C@H](N2CCC(C(=O)N)CC2)C(=O)N(c2ccc(NC(=O)C)cc2)C1=O,[C][C@H1][Branch1][S][N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][C][Ring1][=Branch2][C][=Branch1][C][=O][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][C][Ring2][Ring1][=Branch2][=O]
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,c12c(cccc1)n(CC(=O)N)c(SCc1n(CC(N)=O)c3ccccc3n1)n2,[C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][N][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][Branch2][Ring1][Branch2][S][C][C][N][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=N][=N][Ring2][Ring1][N]
