original,augmented
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C(c1ccc([S@@+](=O)([OH2+])N)cc1)NC(=O)C[C@H]1NC(=O)N(CCc2ccccc2)C1=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C(C[C@H]1NC(=O)N(CCc2ccccc2)C1=O)(NCc1ccc([S@+](N)([OH2+])=O)cc1)=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,N1[C@H](CC(=O)NCc2ccc([S@@+](N)(=O)[OH2+])cc2)C(=O)N(CCc2ccccc2)C1=O
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C(c1ccc([S@@+](=O)([OH2+])N)cc1)NC(=O)C[C@@H]1C(=O)N(CCc2ccccc2)C(=O)N1
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,n1ccc(CNC(c2c(=O)n3c(nc2[O-])cc(C)cc3)=O)cc1
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1(CNC(=O)c2c(=O)n3ccc(C)cc3nc2[O-])ccncc1
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1cc(C)cc2nc([O-])c(C(=O)NCc3ccncc3)c(=O)n12
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,n12c(=O)c(C(=O)NCc3ccncc3)c([O-])nc1cc(C)cc2
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1([O-])nc2n(c(=O)c1C(=O)NCc1ccncc1)ccc(C)c2
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1nn2c(ncc3c2ccn(Cc2ncccc2)c3=O)n1
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1cc(Cn2c(=O)c3c(n4c(nc3)ncn4)cc2)ncc1
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1cc2n3c(ncn3)ncc2c(=O)n1Cc1ncccc1
