original,augmented,selfies
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,C(C[C@]1(O)c2ccccc2N(CC(N)=O)C1=O)(=O)c1ccncc1,[C][Branch2][Ring1][O][C][C@][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][Ring1][=C][=O][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1]
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,C1CN([C@@H]2C(=O)N(c3ccc(NC(=O)C)cc3)C(=O)C2)CCC1C(N)=O,[C][C][N][Branch2][Ring1][S][C@@H1][C][=Branch1][C][=O][N][Branch1][P][C][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][C][Ring1][P][C][C][C][Ring2][Ring1][#Branch1][C][Branch1][C][N][=O]
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,C(Cn1c(SCc2n(CC(=O)N)c3ccccc3n2)nc2ccccc21)(N)=O,[C][Branch2][Ring2][#Branch2][C][N][C][Branch2][Ring1][Branch2][S][C][C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Branch2][Branch1][C][N][=O]
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,s1c2c(c3ncn(CC(=O)N)c(=O)c13)cccn2,[S][C][=C][Branch2][Ring1][=Branch1][C][N][=C][N][Branch1][#Branch1][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][=C][=Ring1][O][C][=C][C][=N][Ring1][P]
Cn1ncc2c1ncn1nc(-c3n[nH]cc3[N+](=O)[O-])nc21,c1nn(C)c2ncn3c(nc(-c4c([N+](=O)[O-])c[nH]n4)n3)c12,[C][=N][N][Branch1][C][C][C][N][=C][N][C][=Branch2][Ring1][=Branch1][=N][C][Branch1][#C][C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][NH1][N][=Ring1][Branch2][=N][Ring1][=N][C][Ring2][Ring1][Branch1][=Ring1][P]
CC(C)n1cc(C(=O)Nc2n[nH]c3cccc(F)c23)c2ccccc2c1=O,c1cc(F)c2c([nH]nc2NC(=O)c2c3c(cccc3)c(=O)n(C(C)C)c2)c1,[C][=C][C][Branch1][C][F][=C][C][Branch2][Ring2][Branch1][NH1][N][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Ring1][=C][=C][Ring2][Ring1][O]
O=C(Nc1ccccc1)c1cccc(N2C[C@@H](C(=O)NCc3cccc(Cl)c3)CC2=O)c1,C1(=O)C[C@H](C(=O)NCc2cccc(Cl)c2)CN1c1cccc(C(=O)Nc2ccccc2)c1,[C][=Branch1][C][=O][C][C@H1][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][N][Ring1][P][C][=C][C][=C][C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][#C]
Cc1cc(C(=O)N2CCC[C@H](n3c(=O)n(C)c4cncnc43)C2)nn1C,c1c(C)n(C)nc1C(N1C[C@@H](n2c(=O)n(C)c3cncnc23)CCC1)=O,[C][=C][Branch1][C][C][N][Branch1][C][C][N][=C][Ring1][#Branch1][C][Branch2][Ring1][#C][N][C][C@@H1][Branch2][Ring1][Ring2][N][C][=Branch1][C][=O][N][Branch1][C][C][C][=C][N][=C][N][=C][Ring1][O][Ring1][=Branch1][C][C][C][Ring1][P][=O]
NC(=O)c1ccccc1NC(=O)c1cnccn1,C(N)(c1ccccc1NC(=O)c1cnccn1)=O,[C][Branch1][C][N][Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][N][=C][C][=N][Ring1][=Branch1][=O]
O=C([O-])Cn1ccc2c(cnc3ccnn32)c1=O,[O-]C(Cn1c(=O)c2c(cc1)n1nccc1nc2)=O,[O-1][C][Branch2][Ring1][#Branch2][C][N][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][N][N][=C][C][=C][Ring1][Branch1][N][=C][Ring1][O][=O]
