original,augmented
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,C(=O)(Cn1c2c(nc1CSc1n(CC(=O)N)c3ccccc3n1)cccc2)N
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,S(Cc1nc2ccccc2n1CC(=O)N)c1n(CC(=O)N)c2ccccc2n1
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,NC(=O)Cn1cnc2c(sc3c2cccn3)c1=O
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,c12sc3ncccc3c1ncn(CC(=O)N)c2=O
NC(=O)Cn1cnc2c(sc3ncccc32)c1=O,n1(CC(=O)N)cnc2c3c(nccc3)sc2c1=O
Cn1ncc2c1ncn1nc(-c3n[nH]cc3[N+](=O)[O-])nc21,c1nc2n(C)ncc2c2nc(-c3n[nH]cc3[N+]([O-])=O)nn12
Cn1ncc2c1ncn1nc(-c3n[nH]cc3[N+](=O)[O-])nc21,[O-][N+](c1c[nH]nc1-c1nn2cnc3c(c2n1)cnn3C)=O
Cn1ncc2c1ncn1nc(-c3n[nH]cc3[N+](=O)[O-])nc21,c1c2c3nc(-c4n[nH]cc4[N+](=O)[O-])nn3cnc2n(C)n1
CC(C)n1cc(C(=O)Nc2n[nH]c3cccc(F)c23)c2ccccc2c1=O,N(c1n[nH]c2cccc(F)c12)C(c1c2c(cccc2)c(=O)n(C(C)C)c1)=O
CC(C)n1cc(C(=O)Nc2n[nH]c3cccc(F)c23)c2ccccc2c1=O,c1(=O)n(C(C)C)cc(C(Nc2c3c(F)cccc3[nH]n2)=O)c2c1cccc2
CC(C)n1cc(C(=O)Nc2n[nH]c3cccc(F)c23)c2ccccc2c1=O,CC(C)n1cc(C(Nc2c3c(F)cccc3[nH]n2)=O)c2ccccc2c1=O
O=C(Nc1ccccc1)c1cccc(N2C[C@@H](C(=O)NCc3cccc(Cl)c3)CC2=O)c1,c1(N2C(=O)C[C@H](C(=O)NCc3cc(Cl)ccc3)C2)cc(C(=O)Nc2ccccc2)ccc1
O=C(Nc1ccccc1)c1cccc(N2C[C@@H](C(=O)NCc3cccc(Cl)c3)CC2=O)c1,c1(CNC(=O)[C@H]2CC(=O)N(c3cccc(C(Nc4ccccc4)=O)c3)C2)cc(Cl)ccc1
O=C(Nc1ccccc1)c1cccc(N2C[C@@H](C(=O)NCc3cccc(Cl)c3)CC2=O)c1,C(NC(=O)[C@@H]1CN(c2cc(C(Nc3ccccc3)=O)ccc2)C(=O)C1)c1cc(Cl)ccc1
Cc1cc(C(=O)N2CCC[C@H](n3c(=O)n(C)c4cncnc43)C2)nn1C,n1(C)c2cncnc2n([C@@H]2CN(C(c3nn(C)c(C)c3)=O)CCC2)c1=O
Cc1cc(C(=O)N2CCC[C@H](n3c(=O)n(C)c4cncnc43)C2)nn1C,c1(C)n(C)nc(C(=O)N2C[C@@H](n3c(=O)n(C)c4cncnc43)CCC2)c1
Cc1cc(C(=O)N2CCC[C@H](n3c(=O)n(C)c4cncnc43)C2)nn1C,c12n(C)c(=O)n([C@@H]3CN(C(c4cc(C)n(C)n4)=O)CCC3)c1ncnc2
NC(=O)c1ccccc1NC(=O)c1cnccn1,c1cncc(C(=O)Nc2ccccc2C(=O)N)n1
NC(=O)c1ccccc1NC(=O)c1cnccn1,c1c(C(=O)Nc2c(C(=O)N)cccc2)nccn1
NC(=O)c1ccccc1NC(=O)c1cnccn1,N(C(=O)c1nccnc1)c1ccccc1C(N)=O
O=C([O-])Cn1ccc2c(cnc3ccnn32)c1=O,c1c2c(ccn(CC([O-])=O)c2=O)n2c(ccn2)n1
O=C([O-])Cn1ccc2c(cnc3ccnn32)c1=O,c1c2c(cnc3n2ncc3)c(=O)n(CC(=O)[O-])c1
O=C([O-])Cn1ccc2c(cnc3ccnn32)c1=O,C(C(=O)[O-])n1ccc2n3c(ccn3)ncc2c1=O
NS(=O)(=O)c1ccc(CCNC(=O)CSc2ncccc2C(=O)[O-])cc1,C(=O)(c1cccnc1SCC(NCCc1ccc(S(=O)(=O)N)cc1)=O)[O-]
NS(=O)(=O)c1ccc(CCNC(=O)CSc2ncccc2C(=O)[O-])cc1,N(C(=O)CSc1ncccc1C(=O)[O-])CCc1ccc(S(=O)(N)=O)cc1
NS(=O)(=O)c1ccc(CCNC(=O)CSc2ncccc2C(=O)[O-])cc1,S(CC(NCCc1ccc(S(N)(=O)=O)cc1)=O)c1c(C([O-])=O)cccn1
O=C([C@@H]1CC(=O)N(c2ccc(F)cc2)C1)N1CC[NH2+]CC1,c1(F)ccc(N2C(=O)C[C@@H](C(N3CC[NH2+]CC3)=O)C2)cc1
O=C([C@@H]1CC(=O)N(c2ccc(F)cc2)C1)N1CC[NH2+]CC1,O=C1C[C@@H](C(N2CC[NH2+]CC2)=O)CN1c1ccc(F)cc1
O=C([C@@H]1CC(=O)N(c2ccc(F)cc2)C1)N1CC[NH2+]CC1,C1CN(C(=O)[C@H]2CN(c3ccc(F)cc3)C(=O)C2)CC[NH2+]1
O=C([O-])[C@@H]1CC(=O)N(c2ccccc2)[C@H]1c1cccc(C(F)(F)F)c1,c1cccc(N2C(=O)C[C@@H](C(=O)[O-])[C@@H]2c2cc(C(F)(F)F)ccc2)c1
O=C([O-])[C@@H]1CC(=O)N(c2ccccc2)[C@H]1c1cccc(C(F)(F)F)c1,O=C([O-])[C@@H]1CC(=O)N(c2ccccc2)[C@H]1c1cc(C(F)(F)F)ccc1
O=C([O-])[C@@H]1CC(=O)N(c2ccccc2)[C@H]1c1cccc(C(F)(F)F)c1,c1cc(N2C(=O)C[C@@H](C(=O)[O-])[C@@H]2c2cc(C(F)(F)F)ccc2)ccc1
O=C(NCc1ccccn1)c1c([O-])nc2ccccn2c1=O,C(c1ncccc1)NC(=O)c1c([O-])nc2n(cccc2)c1=O
O=C(NCc1ccccn1)c1c([O-])nc2ccccn2c1=O,n1c2ccccn2c(=O)c(C(NCc2ccccn2)=O)c1[O-]
O=C(NCc1ccccn1)c1c([O-])nc2ccccn2c1=O,c1cnc(CNC(=O)c2c([O-])nc3n(cccc3)c2=O)cc1
CCO[C@H]1O[C@@H]2[C@H](O1)[C@H](CO)O[C@H]2n1cnc2c(N)ncnc21,c1nc2n([C@@H]3O[C@@H](CO)[C@H]4O[C@@H](OCC)O[C@H]43)cnc2c(N)n1
CCO[C@H]1O[C@@H]2[C@H](O1)[C@H](CO)O[C@H]2n1cnc2c(N)ncnc21,c1nc2c(N)ncnc2n1[C@@H]1O[C@@H](CO)[C@H]2O[C@@H](OCC)O[C@H]21
CCO[C@H]1O[C@@H]2[C@H](O1)[C@H](CO)O[C@H]2n1cnc2c(N)ncnc21,[C@H]1(CO)[C@H]2O[C@@H](OCC)O[C@H]2[C@H](n2cnc3c(N)ncnc23)O1
Cn1cc(CN2CCN(C(=O)COc3ccc(F)cc3)CC2)ccc1=O,c1cc(=O)n(C)cc1CN1CCN(C(COc2ccc(F)cc2)=O)CC1
Cn1cc(CN2CCN(C(=O)COc3ccc(F)cc3)CC2)ccc1=O,c1cc(OCC(N2CCN(Cc3cn(C)c(=O)cc3)CC2)=O)ccc1F
Cn1cc(CN2CCN(C(=O)COc3ccc(F)cc3)CC2)ccc1=O,c1cc(F)ccc1OCC(=O)N1CCN(Cc2ccc(=O)n(C)c2)CC1
CC(=O)N[C@@H]1CN(C(=O)c2n[nH]c3ccccc23)C[C@H]1CO,c1cc2c(cc1)c(C(N1C[C@@H](CO)[C@H](NC(=O)C)C1)=O)n[nH]2
CC(=O)N[C@@H]1CN(C(=O)c2n[nH]c3ccccc23)C[C@H]1CO,c1cccc2[nH]nc(C(=O)N3C[C@@H](NC(C)=O)[C@H](CO)C3)c12
CC(=O)N[C@@H]1CN(C(=O)c2n[nH]c3ccccc23)C[C@H]1CO,O=C(N[C@H]1[C@H](CO)CN(C(c2n[nH]c3ccccc32)=O)C1)C
O=C([O-])[C@H](Cc1ccccc1)NC(=O)N1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)[O-])CC1,c1ccc(C[C@H](NC(N2CCN(C(=O)N[C@H](C([O-])=O)Cc3ccccc3)CC2)=O)C([O-])=O)cc1
O=C([O-])[C@H](Cc1ccccc1)NC(=O)N1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)[O-])CC1,c1(C[C@@H](C([O-])=O)NC(N2CCN(C(=O)N[C@H](C(=O)[O-])Cc3ccccc3)CC2)=O)ccccc1
O=C([O-])[C@H](Cc1ccccc1)NC(=O)N1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)[O-])CC1,O=C([O-])[C@@H](NC(=O)N1CCN(C(=O)N[C@H](C([O-])=O)Cc2ccccc2)CC1)Cc1ccccc1
Cc1ccc(C2=NN(C(=O)CN(C)Cc3ccccc3)[C@H](c3ccccc3)C2)cc1C,c1cccc([C@@H]2CC(c3cc(C)c(C)cc3)=NN2C(=O)CN(C)Cc2ccccc2)c1
Cc1ccc(C2=NN(C(=O)CN(C)Cc3ccccc3)[C@H](c3ccccc3)C2)cc1C,c1cccc([C@H]2N(C(=O)CN(Cc3ccccc3)C)N=C(c3cc(C)c(C)cc3)C2)c1
Cc1ccc(C2=NN(C(=O)CN(C)Cc3ccccc3)[C@H](c3ccccc3)C2)cc1C,c1c([C@H]2N(C(=O)CN(Cc3ccccc3)C)N=C(c3ccc(C)c(C)c3)C2)cccc1
Cc1nn(C)c(C(=O)Nc2cnn(C)c2C(N)=O)c1Cl,c1(C(N)=O)n(C)ncc1NC(=O)c1c(Cl)c(C)nn1C
Cc1nn(C)c(C(=O)Nc2cnn(C)c2C(N)=O)c1Cl,c1(Cl)c(C(=O)Nc2cnn(C)c2C(=O)N)n(C)nc1C
Cc1nn(C)c(C(=O)Nc2cnn(C)c2C(N)=O)c1Cl,n1(C)nc(C)c(Cl)c1C(Nc1c(C(=O)N)n(C)nc1)=O
COc1ccccc1CCN1C(=O)N[C@H](CC(=O)N[C@@H]2CC[S@+](=O)([OH2+])C2)C1=O,C(N1C(=O)N[C@H](CC(=O)N[C@H]2C[S@@+](=O)([OH2+])CC2)C1=O)Cc1c(OC)cccc1
COc1ccccc1CCN1C(=O)N[C@H](CC(=O)N[C@@H]2CC[S@+](=O)([OH2+])C2)C1=O,O=C1N(CCc2ccccc2OC)C(=O)[C@@H](CC(=O)N[C@@H]2CC[S@@+]([OH2+])(=O)C2)N1
COc1ccccc1CCN1C(=O)N[C@H](CC(=O)N[C@@H]2CC[S@+](=O)([OH2+])C2)C1=O,O=[S@@+]1([OH2+])C[C@H](NC(C[C@@H]2C(=O)N(CCc3ccccc3OC)C(=O)N2)=O)CC1
O=C1CCC(=O)N1c1cnn(Cc2ccccc2)c1,C1(=O)N(c2cnn(Cc3ccccc3)c2)C(=O)CC1
O=C1CCC(=O)N1c1cnn(Cc2ccccc2)c1,C1C(=O)N(c2cnn(Cc3ccccc3)c2)C(=O)C1
O=C1CCC(=O)N1c1cnn(Cc2ccccc2)c1,n1n(Cc2ccccc2)cc(N2C(=O)CCC2=O)c1
Cc1ccc2ncn(C3CCN(C(=O)Cc4c(F)cccc4F)CC3)c2c1,c1cc(F)c(CC(N2CCC(n3cnc4ccc(C)cc34)CC2)=O)c(F)c1
Cc1ccc2ncn(C3CCN(C(=O)Cc4c(F)cccc4F)CC3)c2c1,C1CC(n2c3cc(C)ccc3nc2)CCN1C(Cc1c(F)cccc1F)=O
Cc1ccc2ncn(C3CCN(C(=O)Cc4c(F)cccc4F)CC3)c2c1,c1cc(F)c(CC(N2CCC(n3c4c(ccc(C)c4)nc3)CC2)=O)c(F)c1
O=C(NCc1ccc(F)cc1F)c1ccc2c(c1)nc1n2CCN(Cc2ccccn2)C1=O,c1c(F)c(CNC(c2ccc3n4c(nc3c2)C(=O)N(Cc2ncccc2)CC4)=O)ccc1F
O=C(NCc1ccc(F)cc1F)c1ccc2c(c1)nc1n2CCN(Cc2ccccn2)C1=O,n1c(CN2C(=O)c3nc4cc(C(NCc5ccc(F)cc5F)=O)ccc4n3CC2)cccc1
